Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_P1_Test1	Ext_Rot_N_P1_Test2	Ext_Rot_N_P1_Test3	Ext_Rot_N_P2_Test1	Ext_Rot_N_P2_Test2	Ext_Rot_N_P2_Test3	Int_Rot_N_P1_Test1	Int_Rot_N_P1_Test2	Int_Rot_N_P1_Test3	Int_Rot_N_P2_Test1	Int_Rot_N_P2_Test2	Int_Rot_N_P2_Test3
P2TB	m	DPOA	m	GX1C	m	154,8	184,1	135,2	nan	nan	nan	231,3	195,3	153,0	nan	nan	nan
P2TB	m	GX1C	m	DPOA	m	nan	nan	nan	92,1	142,3	186,4	nan	nan	nan	180,1	184,6	344,3
PBAN	f	6QVB	f	L07I	f	91,6	89,8	99,2	nan	nan	nan	112,5	113,9	119,2	nan	nan	nan
PBAN	f	G5QJ	f	6QVB	f	nan	nan	nan	105,8	103,6	115,6	nan	nan	nan	129,9	124,1	133,8
PIGD	m	QDH7	m	2BW9	f	173,5	173,0	158,3	nan	nan	nan	209,1	243,3	204,6	nan	nan	nan
PIGD	m	W7B5	f	QDH7	m	nan	nan	nan	78,7	80,0	89,4	nan	nan	nan	93,8	109,0	99,2
Q1CO	f	96H6	f	UQO6	f	94,3	85,8	94,3	nan	nan	nan	145,4	166,8	137,0	nan	nan	nan
Q1CO	f	UQO6	f	96H6	f	nan	nan	nan	103,6	112,1	109,0	nan	nan	nan	124,1	143,2	130,8
Q80H	m	ESW0	f	R19W	m	112,1	141,4	138,3	nan	nan	nan	108,1	113,4	121,9	nan	nan	nan
Q80H	m	R19W	m	ESW0	f	nan	nan	nan	182,4	163,2	181,9	nan	nan	nan	214,8	180,1	208,2
QDH7	m	2BW9	f	PIGD	m	nan	nan	nan	100,9	93,4	106,3	nan	nan	nan	145,0	127,2	138,3
QDH7	m	2BW9	f	W7B5	f	105,4	96,1	106,3	nan	nan	nan	125,9	145,0	129,4	nan	nan	nan
QUVC	f	D63N	m	FOEB	m	173,5	151,2	156,1	nan	nan	nan	236,6	261,1	248,2	nan	nan	nan
QUVC	f	FOEB	m	71G1	m	nan	nan	nan	161,0	191,7	179,3	nan	nan	nan	251,3	247,3	249,2
R19W	m	ESW0	f	OW8O	f	nan	nan	nan	155,7	141,0	152,1	nan	nan	nan	111,6	92,5	102,7
R19W	m	OW8O	f	Q80H	m	121,9	120,5	114,7	nan	nan	nan	175,2	143,2	144,5	nan	nan	nan
RNV5	f	DM6E	f	MLS0	f	125,5	136,1	141,0	nan	nan	nan	174,4	128,1	120,5	nan	nan	nan
