Pairing	Cycle	Test_Repetition	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N	Int_Rot_N	Ext_Rot_Order	Int_Rot_Order
Pairing 2	10	3	T0	E8FP	m	9OIM	f	9EOO	f	124,0	152,5	2	1
Pairing 2	3	1	T0	EBNE	m	3Y7T	f	KGRE	f	77,4	103,2	2	1
Pairing 2	7	2	T0	EBNE	m	3Y7T	f	KGRE	f	93,4	129,4	2	1
Pairing 2	11	3	T0	EBNE	m	3Y7T	f	KGRE	f	91,6	131,6	1	2
Pairing 1	2	1	T0	EBNE	m	4N1T	f	3Y7T	f	81,8	113,4	1	2
Pairing 1	6	2	T0	EBNE	m	4N1T	f	3Y7T	f	96,1	92,0	2	1
Pairing 1	10	3	T0	EBNE	m	4N1T	f	3Y7T	f	109,4	93,4	2	1
Pairing 2	2	1	Y7	EQY3	f	7J9M	f	FW51	m	99,0	127,0	1	2
Pairing 2	6	2	Y7	EQY3	f	7J9M	f	FW51	m	86,0	133,0	2	1
Pairing 2	10	3	Y7	EQY3	f	7J9M	f	FW51	m	100,0	117,0	1	2
Pairing 1	3	1	Y7	EQY3	f	FW51	m	2TT1	f	167,0	224,0	2	1
Pairing 1	7	2	Y7	EQY3	f	FW51	m	2TT1	f	169,0	234,0	2	1
Pairing 1	11	3	Y7	EQY3	f	FW51	m	2TT1	f	175,0	186,0	1	2
Pairing 2	3	1	M1	ESW0	f	OW8O	f	Q80H	m	153,9	205,5	1	2
Pairing 2	7	2	M1	ESW0	f	OW8O	f	Q80H	m	156,6	203,3	2	1
Pairing 2	11	3	M1	ESW0	f	OW8O	f	Q80H	m	179,7	198,4	2	1
Pairing 1	2	1	M1	ESW0	f	R19W	m	OW8O	f	199,7	243,3	1	2
Pairing 1	6	2	M1	ESW0	f	R19W	m	OW8O	f	185,9	257,6	2	1
Pairing 1	10	3	M1	ESW0	f	R19W	m	OW8O	f	189,5	228,0	2	1
Pairing 2	1	1	L3	ET9A	f	STFF	f	SYLZ	f	133,4	143,7	2	1
Pairing 2	4	2	L3	ET9A	f	STFF	f	SYLZ	f	121,9	145,0	2	1
Pairing 2	7	3	L3	ET9A	f	STFF	f	SYLZ	f	133,0	134,8	2	1
Pairing 1	1	1	L3	ET9A	f	SYLZ	f	STFF	f	111,6	114,3	1	2
Pairing 1	4	2	L3	ET9A	f	SYLZ	f	STFF	f	114,3	116,5	2	1
Pairing 1	7	3	L3	ET9A	f	SYLZ	f	STFF	f	104,1	124,1	2	1
Pairing 1	1	1	8J	FDHE	m	9MJ0	f	J8KP	f	111,6	127,0	1	2
Pairing 1	5	2	8J	FDHE	m	9MJ0	f	J8KP	f	97,4	123,6	2	1
Pairing 1	9	3	8J	FDHE	m	9MJ0	f	J8KP	f	101,8	122,7	2	1
Pairing 2	1	1	8J	FDHE	m	J8KP	f	9MJ0	f	72,0	93,0	1	2
Pairing 2	5	2	8J	FDHE	m	J8KP	f	9MJ0	f	85,0	87,6	1	2
Pairing 2	9	3	8J	FDHE	m	J8KP	f	9MJ0	f	90,3	89,8	1	2
Pairing 2	4	1	V7	FOEB	m	71G1	m	D63N	m	147,8	249,6	1	2
Pairing 2	8	2	V7	FOEB	m	71G1	m	D63N	m	173,5	253,6	2	1
Pairing 2	12	3	V7	FOEB	m	71G1	m	D63N	m	180,6	289,6	2	1
Pairing 1	4	1	V7	FOEB	m	71G1	m	QUVC	f	174,5	274,9	1	2
Pairing 1	8	2	V7	FOEB	m	71G1	m	QUVC	f	166,8	249,6	2	1
Pairing 1	12	3	V7	FOEB	m	71G1	m	QUVC	f	165,0	233,5	1	2
Pairing 2	1	1	8J	FV50	m	2ABW	f	VOFU	m	98,3	94,3	2	1
Pairing 2	4	2	8J	FV50	m	2ABW	f	VOFU	m	102,7	115,6	2	1
Pairing 2	7	3	8J	FV50	m	2ABW	f	VOFU	m	104,3	117,0	1	2
Pairing 1	1	1	8J	FV50	m	VOFU	m	2ABW	f	169,5	220,2	2	1
Pairing 1	4	2	8J	FV50	m	VOFU	m	2ABW	f	207,7	269,6	1	2
Pairing 1	7	3	8J	FV50	m	VOFU	m	2ABW	f	172,6	225,5	2	1
Pairing 1	4	1	Y7	FW51	m	2TT1	f	7J9M	f	94,0	105,0	1	2
Pairing 1	8	2	Y7	FW51	m	2TT1	f	7J9M	f	99,0	127,0	1	2
Pairing 1	12	3	Y7	FW51	m	2TT1	f	7J9M	f	101,0	146,0	1	2
Pairing 2	4	1	Y7	FW51	m	2TT1	f	EQY3	f	90,0	138,0	2	1
Pairing 2	8	2	Y7	FW51	m	2TT1	f	EQY3	f	103,0	137,0	1	2
Pairing 2	12	3	Y7	FW51	m	2TT1	f	EQY3	f	97,0	140,0	2	1
Pairing 2	3	1	Y7	G5QJ	f	6QVB	f	L07I	f	124,1	128,9	2	1
Pairing 2	7	2	Y7	G5QJ	f	6QVB	f	L07I	f	116,5	112,5	1	2
