Pairing	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_Test1	Ext_Rot_N_Test2	Ext_Rot_N_Test3	Int_Rot_N_Test1	Int_Rot_N_Test2	Int_Rot_N_Test3
Pairing 2	M1	MLS0	f	RNV5	f	HOLJ	m	92,5	86,3	73,4	124,1	121,0	124,1
Pairing 2	M1	NE43	f	B01W	f	0W85	m	104,5	104,1	93,4	116,1	116,5	111,2
Pairing 2	M1	OW8O	f	Q80H	m	R19W	m	156,6	131,2	154,3	218,0	201,1	228,6
Pairing 2	M1	Q80H	m	R19W	m	ESW0	f	182,4	163,2	181,9	214,8	180,1	208,2
Pairing 2	M1	R19W	m	ESW0	f	OW8O	f	155,7	141,0	152,1	111,6	92,5	102,7
Pairing 2	M1	RNV5	f	HOLJ	m	DM6E	f	151,7	146,8	151,2	242,0	251,8	230,0
Pairing 2	T0	03Q1	m	UY8N	m	XKHX	f	203,3	191,7	197,1	327,9	275,4	314,1
Pairing 2	T0	3Y7T	f	KGRE	f	4N1T	f	95,2	100,9	105,4	160,6	147,7	148,6
Pairing 2	T0	4N1T	f	EBNE	m	3Y7T	f	156,6	177,5	138,8	133,9	154,3	196,0
Pairing 2	T0	8SUE	f	9EMF	f	C7WI	f	84,5	84,9	80,9	92,0	92,0	109,0
Pairing 2	T0	9EMF	f	C7WI	f	8SUE	f	77,8	72,9	76,0	101,8	101,8	90,3
Pairing 2	T0	9EOO	f	XO3D	m	E8FP	m	121,9	134,2	142,0	158,5	162,4	162,1
Pairing 2	T0	9OIM	f	9EOO	f	XO3D	m	85,8	77,4	70,3	137,0	117,0	112,8
Pairing 2	T0	C7WI	f	8SUE	f	9EMF	f	86,7	84,0	79,6	120,1	109,0	125,4
Pairing 2	T0	E8FP	m	9OIM	f	9EOO	f	100,0	130,0	124,0	91,6	160,5	152,5
Pairing 2	T0	EBNE	m	3Y7T	f	KGRE	f	77,4	93,4	91,6	103,2	129,4	131,6
Pairing 2	T0	KGRE	f	4N1T	f	EBNE	m	99,2	88,9	106,3	80,0	151,0	111,6
Pairing 2	T0	UY8N	m	XKHX	f	03Q1	m	118,7	96,9	100,1	149,9	145,4	133,0
Pairing 2	T0	XKHX	f	03Q1	m	UY8N	m	141,0	148,6	162,3	172,1	164,1	161,9
Pairing 2	T0	XO3D	m	E8FP	m	9OIM	f	164,6	157,5	155,4	194,4	188,6	180,0
Pairing 2	V7	0G2E	f	C9QY	f	GWZ3	f	78,7	93,8	97,4	118,3	118,7	122,7
Pairing 2	V7	54W1	m	MXT3	m	8YYM	f	161,5	136,1	129,4	209,1	222,4	227,8
Pairing 2	V7	71G1	m	D63N	m	QUVC	f	142,8	148,6	173,0	235,8	234,9	231,8
Pairing 2	V7	7847	f	GONF	f	U24Z	f	117,9	136,1	82,3	162,3	146,3	133,4
Pairing 2	V7	8YYM	f	URX1	f	54W1	m	96,9	83,2	105,8	144,1	121,0	148,6
Pairing 2	V7	C0YZ	m	7847	f	GONF	f	137,4	168,1	138,3	178,4	166,4	176,1
Pairing 2	V7	C9QY	f	GWZ3	f	IWEV	m	127,6	142,8	116,5	131,2	147,2	146,8
Pairing 2	V7	D63N	m	QUVC	f	FOEB	m	119,6	94,7	105,9	148,6	148,6	157,9
Pairing 2	V7	FOEB	m	71G1	m	D63N	m	147,8	173,5	180,6	249,6	253,6	289,6
Pairing 2	V7	GONF	f	U24Z	f	C0YZ	m	129,4	129,4	153,9	130,8	145,0	148,1
Pairing 2	V7	GWZ3	f	IWEV	m	0G2E	f	133,0	165,0	152,6	196,0	181,0	173,5
Pairing 2	V7	IWEV	m	0G2E	f	C9QY	f	131,3	107,2	128,5	109,8	102,7	100,9
Pairing 2	V7	MXT3	m	8YYM	f	URX1	f	90,3	100,9	74,7	100,9	93,4	89,4
Pairing 2	V7	QUVC	f	FOEB	m	71G1	m	161,0	191,7	179,3	251,3	247,3	249,2
